PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Gaetz, M; Bernstein, DM				Gaetz, M; Bernstein, DM			The current status of electrophysiologic procedures for the assessment of mild traumatic brain injury	JOURNAL OF HEAD TRAUMA REHABILITATION			English	Review						electroencephalography; event-related potentials; evoked potentials; magnetoencephalography; mild traumatic brain injury	EVENT-RELATED POTENTIALS; CLOSED-HEAD-INJURY; AUDITORY EVOKED-POTENTIALS; DIFFUSE AXONAL INJURY; P300 AMPLITUDE; COGNITIVE DYSFUNCTION; BIOPHYSICAL LINKAGE; DEPRESSIVE DISORDER; SUICIDAL-BEHAVIOR; SPECTRAL-ANALYSIS	Design: This review examines studies that used spontaneous electroencephalography (EEG), evoked potentials (EP), event-related potentials (ERP), and magnetoencephalography (MEG) to detect brain dysfunction in mild traumatic brain injured (MTBI) subjects. Conclusions: The following conclusions are offered: (1) standard clinical EEG is not useful: however, newer analytical procedures may be proven valuable; (2) consistent with current theory of MTBI, cognitive ERPs seem to be more sensitive to injury than EPs: (3) development of an assessment battery that may include EEG. EPs. ERPs, and neuropsychologic testing is advocated.	Univ British Columbia, Dept Psychiat, Vancouver, BC V6T 1Z3, Canada; Simon Fraser Univ, Dept Psychol, Burnaby, BC V5A 1S6, Canada		Gaetz, M (corresponding author), Univ British Columbia, Dept Psychiat, Detwiller Pavil,2255 Wesbrook Mall, Vancouver, BC V6T 1Z3, Canada.	gaetz@sfu.ca							117	54	56	0	22	LIPPINCOTT WILLIAMS & WILKINS	PHILADELPHIA	TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, PA 19103 USA	0885-9701	1550-509X		J HEAD TRAUMA REHAB	J. Head Trauma Rehabil.	AUG	2001	16	4					386	405		10.1097/00001199-200108000-00008	http://dx.doi.org/10.1097/00001199-200108000-00008			20	Clinical Neurology; Rehabilitation	Social Science Citation Index (SSCI)	Neurosciences & Neurology; Rehabilitation	459YA	11461660				2022-08-02	WOS:000170278000008
J	Yeung, N; Bogacz, R; Holroyd, CB; Cohen, JD				Yeung, N; Bogacz, R; Holroyd, CB; Cohen, JD			Detection of synchronized oscillations in the electroencephalogram: An evaluation of methods	PSYCHOPHYSIOLOGY			English	Article						electroencephalography; event-related potential; synchrony; oscillations; phase resetting	PHASE SYNCHRONIZATION; EEG; RESPONSES; ACTIVATION; TRIALS	The signal averaging approach typically used in ERP research assumes that peaks in ER-P waveforms reflect neural activity that is uncorrelated with activity in the ongoing EEG. However, this assumption has been challenged by research suggesting that ERP peaks reflect event-related synchronization of ongoing EEG oscillations. In this study, we investigated the validity of a set of methods that have been used to demonstrate that particular ERP peaks result from synchronized EEG oscillations. We simulated epochs of EEG data by superimposing phasic peaks on noise characterized by the power spectrum of the EEG. When applied to the simulated data, the methods in question produced results that have previously been interpreted as evidence of synchronized oscillations, even though no such synchrony was present. These findings suggest that proposed analysis methods may not effectively disambiguate competing views of ERP generation.	Princeton Univ, Dept Psychol, Princeton, NJ 08544 USA; Princeton Univ, Dept Appl & Computat Math, Princeton, NJ 08544 USA; Univ Pittsburgh, Dept Psychiat, Pittsburgh, PA USA		Yeung, N (corresponding author), Carnegie Mellon Univ, Dept Psychol, Pittsburgh, PA 15213 USA.	nyeung@cmu.edu		Yeung, Nick/0000-0003-1905-2129; Holroyd, Clay/0000-0003-3084-8574	NIMH NIH HHS [P50-MH62196, MH63550] Funding Source: Medline; NATIONAL INSTITUTE OF MENTAL HEALTH [P50MH062196, F32MH063550] Funding Source: NIH RePORTER	NIMH NIH HHS(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Mental Health (NIMH)); NATIONAL INSTITUTE OF MENTAL HEALTH(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Mental Health (NIMH))			44	185	186	0	14	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0048-5772	1469-8986		PSYCHOPHYSIOLOGY	Psychophysiology	NOV	2004	41	6					822	832		10.1111/j.1469-8986.2004.00239.x	http://dx.doi.org/10.1111/j.1469-8986.2004.00239.x			11	Psychology, Biological; Neurosciences; Physiology; Psychology; Psychology, Experimental	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Psychology; Neurosciences & Neurology; Physiology	876NF	15563335				2022-08-02	WOS:000225503100002
C	Ellingson, ML; Liebenthal, E; Spanaki, MV; Prieto, TE; Binder, JR; Ropella, KM			IEEE; IEEE; IEEE	Ellingson, ML; Liebenthal, E; Spanaki, MV; Prieto, TE; Binder, JR; Ropella, KM			Reduction of ballistocardiogram artifact in the simultaneous acquisition of auditory event-related potentials and functional magnetic resonance images	SECOND JOINT EMBS-BMES CONFERENCE 2002, VOLS 1-3, CONFERENCE PROCEEDINGS: BIOENGINEERING - INTEGRATIVE METHODOLOGIES, NEW TECHNOLOGIES	PROCEEDINGS OF ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY		English	Proceedings Paper	24th Annual International Conference of the Engineering-in-Medicine-and-Biology-Society/Annual Fall Meeting of the Biomedical-Engineering-Society (EMBS 2002 BMES)	OCT 23-26, 2002	HOUSTON, TX	Engn Med & Biol Soc, Biomed Engn Soc, Natl Sci Fdn, Natl Inst Hlth, Natl Inst Biomed Imaging & Bioengn, Whitaker Fdn		Electroencephalography (EEG); functional Magnetic Resonance Imaging (fMRI); auditory Event-related Potential (ERP); MisMatch Negativity (MMN)		The combination of Electroencephalography (EEG) and functional Magnetic Resonance Imaging (fMRI) is now being used to analyze brain function. However, Ballistocardiogram Artifact (BA), which is caused by the pulsatile motion related to the heart beat, dominates the EEG signal in the MR environment. The objective of this research is to reduce these MR-induced artifacts in order to extract useful information from the EEG recordings, specifically auditory Event-Related Potentials (ERPs). The BA was reduced through the use of an algorithm which creates an adaptive BA template by median-filtering the previous 10 artifacts in the EEG signal. The continuously updated template is then subtracted from each BA in the EEG signal. Results are reported for five subjects, and it was found that the results for the MisMatch Negativities (MMNs) were comparable to those that have previously been reported for studies using auditory frequency deviants. The methods used to reduce the BA in this study demonstrate that the acquisition of auditory ERPs along with the subsequent MMN component can validly be obtained in the MR-environment.	Marquette Univ, Dept Biomed Engn, Milwaukee, WI 53233 USA		Ellingson, ML (corresponding author), Marquette Univ, Dept Biomed Engn, Milwaukee, WI 53233 USA.		Binder, Jeff/CAJ-3303-2022; Liebenthal, Einat/AAO-9781-2020	Binder, Jeffrey/0000-0002-2233-5640; Liebenthal, Einat/0000-0003-4917-8160					2	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1094-687X		0-7803-7612-9	P ANN INT IEEE EMBS			2002							159	160						2	Computer Science, Artificial Intelligence; Engineering, Biomedical; Instruments & Instrumentation; Radiology, Nuclear Medicine & Medical Imaging	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science; Engineering; Instruments & Instrumentation; Radiology, Nuclear Medicine & Medical Imaging	BV84T					2022-08-02	WOS:000180194800075
C	Vigario, RN			IEEE; IEEE; IEEE	Vigario, RN			From principal to independent component analysis of brain signals	PROCEEDINGS OF THE 23RD ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY, VOLS 1-4: BUILDING NEW BRIDGES AT THE FRONTIERS OF ENGINEERING AND MEDICINE	PROCEEDINGS OF ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY		English	Proceedings Paper	23rd Annual International Conference of the IEEE-Engineering-in-Medicine-and-Biology-Society	OCT 25-28, 2001	ISTANBUL, TURKEY	Natl Sci Fdn, TUBITAK, Sci & Tech Res Ctr Turkey, ISIK Univ, COMNET, EREL Techno Grp, GUZEL SANATLAR Printinghouse, JOHNSON&JOHNSON Med, PFIZER, SIEMENS Med, TURKCELL Iletism Hizmetler A S, ALSTOM Elect Ltd Co, GANTEK Technol & SUN Microsyst, TURCOM Co Grp		principal component analysis (PCA); independent component analysis (ICA); electroencephalography (EEG); magnetoencephalography (MEG); artifact removal; event related potentials and fields (ERP,EF)	BLIND SEPARATION; EXTRACTION; ALGORITHM; FIELDS; EEG	The purpose of this paper is to introduce the attendee/reader of the special session on component analysis and brain signal to, or refresh the concepts of the classical principal component analysis (PCA) and the more recent independent component analysis (ICA). Some motivations for their use in the context of electromagnetic brain signal processing are given. An illustrative example in event related studies is as well provided.	GMD FIRST, D-12489 Berlin, Germany		Vigario, RN (corresponding author), GMD FIRST, Kekulestr 7, D-12489 Berlin, Germany.	Ricardo.Vigario@first.gmd.de	Vigário, Ricardo/C-4641-2018; Vigário, Ricardo/AAX-9822-2021	Vigário, Ricardo/0000-0003-0950-6035					25	1	1	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1094-687X		0-7803-7211-5	P ANN INT IEEE EMBS			2001	23		1-4				1970	1973		10.1109/IEMBS.2001.1020615	http://dx.doi.org/10.1109/IEMBS.2001.1020615			4	Cardiac & Cardiovascular Systems; Computer Science, Interdisciplinary Applications; Engineering, Biomedical; Neurosciences	Conference Proceedings Citation Index - Science (CPCI-S)	Cardiovascular System & Cardiology; Computer Science; Engineering; Neurosciences & Neurology	BV41G					2022-08-02	WOS:000178871900542
J	Ellingson, ML; Liebenthal, E; Spanaki, MV; Prieto, TE; Binder, JR; Ropella, KM				Ellingson, ML; Liebenthal, E; Spanaki, MV; Prieto, TE; Binder, JR; Ropella, KM			Ballistocardiogram artifact reduction in the simultaneous acquisition of auditory ERPS and fMRI	NEUROIMAGE			English	Article						ballistocardiogram; electroencephalography; event-related potential	MISMATCH NEGATIVITY; FUNCTIONAL MRI; FIELD-STRENGTH; EEG; CORTEX; POTENTIALS; ATTENTION; NOVELTY; TESLA; ECG	Electroencephalography (EEG) and functional magnetic resonance imaging (fMRI) are now being combined to analyze brain function. Confounding the EEG signal acquired in the MR environment is a ballistocardiogram artifact (BA), which is predominantly caused by cardiac-related body movement. The objective of this study was to develop and evaluate a method for reducing these MR-induced artifacts to retrieve small auditory event-related potentials (ERPs) from EEG recorded during fMRI. An algorithm for BA reduction was developed that relies on timing information obtained from simultaneous electrocardiogram (ECG) recordings and subsequent creation of an adaptive BA template. The BA template is formed by media n-filtering 10 consecutive BA events in the EEG signal. The continuously updated template is then subtracted from each BA in the EEG. The auditory ERPs are obtained through signal averaging of the remaining EEG signal. Experimental and simulated ERP data were estimated to assess effectiveness of the BA reduction. Simulation showed that the algorithm reduced BA without significantly altering the morphology of a signal periodically inserted in the EEG. Auditory ERP data, obtained in a 1.5-T scanner during a passive auditory oddball paradigm and processed with the BA reduction algorithm, were comparable to data recorded in a mock scanner outside the magnetic field with the same experimental paradigm. It is concluded that through adequate reduction of the BA, relatively small auditory ERPs can be acquired in the MR environment. (C) 2004 Elsevier Inc. All rights reserved.	Med Coll Wisconsin, Dept Neurol, Milwaukee, WI 53226 USA; Marquette Univ, Dept Biomed Engn, Milwaukee, WI 53201 USA		Ellingson, ML (corresponding author), Med Coll Wisconsin, Dept Neurol, Room M4551,8701 Watertown Plank Rd, Milwaukee, WI 53226 USA.	Michael.Ellingson@marquette.edu	Liebenthal, Einat/AAO-9781-2020; Binder, Jeff/CAJ-3303-2022	Liebenthal, Einat/0000-0003-4917-8160; Binder, Jeffrey/0000-0002-2233-5640	NCRR NIH HHS [M01-RR00058] Funding Source: Medline; NIDCD NIH HHS [R01 DC006287, R01 DC006287-01, R21 DC004880, R21 DC04880-01] Funding Source: Medline; NATIONAL CENTER FOR RESEARCH RESOURCES [M01RR000058] Funding Source: NIH RePORTER; NATIONAL INSTITUTE ON DEAFNESS AND OTHER COMMUNICATION DISORDERS [R01DC006287, R21DC004880] Funding Source: NIH RePORTER	NCRR NIH HHS(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Center for Research Resources (NCRR)); NIDCD NIH HHS(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Deafness & Other Communication Disorders (NIDCD)); NATIONAL CENTER FOR RESEARCH RESOURCES(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Center for Research Resources (NCRR)); NATIONAL INSTITUTE ON DEAFNESS AND OTHER COMMUNICATION DISORDERS(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Deafness & Other Communication Disorders (NIDCD))			30	60	64	1	6	ACADEMIC PRESS INC ELSEVIER SCIENCE	SAN DIEGO	525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA	1053-8119			NEUROIMAGE	Neuroimage	AUG	2004	22	4					1534	1542		10.1016/j.neuroimage.2004.03.033	http://dx.doi.org/10.1016/j.neuroimage.2004.03.033			9	Neurosciences; Neuroimaging; Radiology, Nuclear Medicine & Medical Imaging	Science Citation Index Expanded (SCI-EXPANDED)	Neurosciences & Neurology; Radiology, Nuclear Medicine & Medical Imaging	844KC	15275910				2022-08-02	WOS:000223156000011
J	Lazzaro, I; Gordon, E; Whitmont, S; Meares, R; Clarke, S				Lazzaro, I; Gordon, E; Whitmont, S; Meares, R; Clarke, S			The modulation of late component event related potentials by pre-stimulus EEG theta activity in ADHD	INTERNATIONAL JOURNAL OF NEUROSCIENCE			English	Article						ADHD; EEG; theta; ERP; attention; N200; P300	DEFICIT-HYPERACTIVITY DISORDER; AUDITORY EVOKED-POTENTIALS; ATTENTION-DEFICIT; QUANTITATIVE EEG; BRAIN POTENTIALS; NORMAL BOYS; CHILDREN; METHYLPHENIDATE; P300; TASK	Electroencephalography (EEG) and Event Related Potentials (ERPs) studies in ADHD have generally been studied separately. This study examined these measures simultaneously in 54 adolescent unmedicated ADHD males and age and gender matched normal controls during an auditory oddball paradigm. Compared with controls, ADHD patients showed increased pre-stimulus EEG Theta activity and post-stimulus reduced N200 amplitude, increased P200 amplitude and delayed N200 and P300 latencies evoked to target stimuli. Moreover, Theta activity was negatively correlated with N200 amplitude and positively correlated with P200, N200 and P300 latency in ADHD. There were no correlations in the control group. Pre-stimulus preparatory state increases in Theta activity in ADHD may underlie some of the reported disturbances in information processing reflected in ADHD.	Westmead Hosp, Dept Psychol Med, Brain Dynam Ctr, Westmead, NSW 2145, Australia; Univ Sydney, Sydney, NSW 2006, Australia		Lazzaro, I (corresponding author), Westmead Hosp, Dept Psychol Med, Brain Dynam Ctr, Westmead, NSW 2145, Australia.	ilariol@amaze.net.au							89	66	69	0	10	TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND	0020-7454	1563-5279		INT J NEUROSCI	Int. J. Neurosci.		2001	107	3-4					247	264		10.3109/00207450109150688	http://dx.doi.org/10.3109/00207450109150688			18	Neurosciences	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Neurosciences & Neurology	428DA	11328694				2022-08-02	WOS:000168444800007
J	Franceries, X; Doyon, B; Chauveau, N; Rigaud, B; Celsis, P; Morucci, JP				Franceries, X; Doyon, B; Chauveau, N; Rigaud, B; Celsis, P; Morucci, JP			Solution of Poisson's equation in a volume conductor using resistor mesh models: Application to event related potential imaging	JOURNAL OF APPLIED PHYSICS			English	Article							INVERSE PROBLEM; ELEMENT METHOD; DIPOLE MODELS; EEG; HEAD; MEG; SEGMENTATION; RECIPROCITY; ACCURACY	In electroencephalography (EEG) and event related potentials (ERP), localizing the electrical sources at the origin of scalp potentials (inverse problem) imposes, in a first step, the computation of scalp potential distribution from the simulation of sources (forward problem). This article proposes an alternative method for mimicing both the electrical and geometrical properties of the head, including brain, skull, and scalp tissue with resistors. Two resistor mesh models have been designed to reproduce the three-sphere reference model (analytical model). The first one (spherical resistor mesh) closely mimics the geometrical and electrical properties of the analytical model. The second one (cubic resistor mesh) is designed to conveniently handle anatomical data from magnetic resonance imaging. Both models have been validated, in reference to the analytical solution calculated on the three-sphere model, by computing the magnification factor and the relative difference measure. Results suggest that the mesh models can be used as robust and user-friendly simulation or exploration tools in EEG/ERP. (C) 2003 American Institute of Physics.	Univ Toulouse 3, Dept Neurol, INSERM, U455,Purpan Hosp, F-31059 Toulouse, France		Franceries, X (corresponding author), Univ Toulouse 3, Dept Neurol, INSERM, U455,Purpan Hosp, F-31059 Toulouse, France.		Franceries, Xavier/O-8986-2014	Franceries, Xavier/0000-0001-8749-4258					36	5	5	0	8	AMER INST PHYSICS	MELVILLE	CIRCULATION & FULFILLMENT DIV, 2 HUNTINGTON QUADRANGLE, STE 1 N O 1, MELVILLE, NY 11747-4501 USA	0021-8979			J APPL PHYS	J. Appl. Phys.	MAR 15	2003	93	6					3578	3588		10.1063/1.1554491	http://dx.doi.org/10.1063/1.1554491			11	Physics, Applied	Science Citation Index Expanded (SCI-EXPANDED)	Physics	652JQ					2022-08-02	WOS:000181376400070
C	Ito, Y; Funada, MF; Ninomija, SP			IEEE; IEEE; IEEE	Ito, Y; Funada, MF; Ninomija, SP			The stimulations of pictures and,characters cause different event related potentials	SECOND JOINT EMBS-BMES CONFERENCE 2002, VOLS 1-3, CONFERENCE PROCEEDINGS: BIOENGINEERING - INTEGRATIVE METHODOLOGIES, NEW TECHNOLOGIES	PROCEEDINGS OF ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY		English	Proceedings Paper	24th Annual International Conference of the Engineering-in-Medicine-and-Biology-Society/Annual Fall Meeting of the Biomedical-Engineering-Society (EMBS 2002 BMES)	OCT 23-26, 2002	HOUSTON, TX	Engn Med & Biol Soc, Biomed Engn Soc, Natl Sci Fdn, Natl Inst Hlth, Natl Inst Biomed Imaging & Bioengn, Whitaker Fdn		ERP; picture; character; EEG		The goal of this paper is to clarify the relationship between the changes of Event Related Potential (ERP) and the kinds of stimulations causing ERP. Our approach is to select several kinds of pets' pictures and their names (characters), to use for measuring ERPs as stimulations, and to analyze whether the difference appear on the ERPs or not. In other words, this trial means to understand how pictures and characters cause changes on ERPs measured from Electroencephalogram (EEG).	Aoyama Gakuin Univ, Dept Engn, Tokyo, Japan		Ito, Y (corresponding author), Aoyama Gakuin Univ, Dept Engn, Tokyo, Japan.								4	0	0	0	1	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1094-687X		0-7803-7612-9	P ANN INT IEEE EMBS			2002							157	158						2	Computer Science, Artificial Intelligence; Engineering, Biomedical; Instruments & Instrumentation; Radiology, Nuclear Medicine & Medical Imaging	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science; Engineering; Instruments & Instrumentation; Radiology, Nuclear Medicine & Medical Imaging	BV84T					2022-08-02	WOS:000180194800074
J	Knott, V; Messier, C; Mahoney, C; Gagnon, M				Knott, V; Messier, C; Mahoney, C; Gagnon, M			Glucose and glucoregulatory modulation of memory scanning, event-related potentials and EEG in elderly subjects	NEUROPSYCHOBIOLOGY			English	Article						glucose; aging; event-related potentials; electroencephalography; memory; attention; information; processing; activation	INSULIN-INDUCED HYPOGLYCEMIA; DEPENDENT DIABETES-MELLITUS; COGNITIVE FUNCTION; BLOOD-GLUCOSE; ENDOGENOUS POTENTIALS; HIPPOCAMPAL-FORMATION; ALZHEIMERS-DISEASE; GLYCEMIC CONTROL; REACTION-TIME; 24-H MEMORY	Endogenous P300b event-related potential (ERP) and behavioral performance measures, extracted during a: visual memory Scanning task, and spectral, indices of resting electroencephalographic (EEG;) activity, were assessed in 12 healthy elderly adults before and after double-blind oral administration of a placebo or glucose (50 mg) beverage. Glucoregulation was estimated by deriving a recovery index to categorize subjects as having: better (BR) or poorer (PR) blood glucose recovery. Although glucoregulatory status, did not impact on EEG or task performance, PR subjects exhibited reduced P300b areas relative, to BR subjects prior to beverage administration. Glucose did not after P300b or memory scanning performance but, regardless of glucoregulatory status, it increased the EEG power in the slow alpha frequency band. The study results suggest that peripheral glucoregulation can influence neuroelectric measures of cognition, and that the acute ingestion of glucose can modulate central arousal processes. Copyright (C) 2001 S. KargerAG, Basel.	Royal Ottawa Hosp, Ottawa, ON K1Z 7K4, Canada; Univ Ottawa, Dept Psychiat & Psychol, Ottawa, ON K1N 6N5, Canada; Univ Ottawa, Mental Hlth Res Inst, Ottawa, ON K1N 6N5, Canada; Univ Ottawa, Sch Psychol, Ottawa, ON K1N 6N5, Canada		Knott, V (corresponding author), Royal Ottawa Hosp, 1145 Carling Ave, Ottawa, ON K1Z 7K4, Canada.	vknott@rohcg.on.ca	Messier, Claude/A-2322-2008	Messier, Claude/0000-0002-4791-1763					90	14	14	0	5	KARGER	BASEL	ALLSCHWILERSTRASSE 10, CH-4009 BASEL, SWITZERLAND	0302-282X			NEUROPSYCHOBIOLOGY	Neuropsychobiology		2001	44	3					156	166		10.1159/000054936	http://dx.doi.org/10.1159/000054936			11	Neurosciences; Psychiatry; Psychology	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Neurosciences & Neurology; Psychiatry; Psychology	476RJ	11586056				2022-08-02	WOS:000171242300009
J	Jing, HK; Chojnowska, C; Heim, S; Thomas, J; Benasich, AA				Jing, HK; Chojnowska, C; Heim, S; Thomas, J; Benasich, AA			Timing errors in auditory event-related potentials	JOURNAL OF NEUROSCIENCE METHODS			English	Article						brain; EEG; event-related potentials; mismatch negativity; timing	INFANTS; ERP	Electronic problems of electroencephalographic (EEG) system may occur in even the best-managed laboratories. Timing error may happen in the coupling of computers from various manufactures, resulting in the misalignment of event markers that signal the onset of stimuli. In one system, an impedance check desynchronized a computer and thus caused misalignment of events in EEG signals. Thus, the aim of this study was to develop a method to identify and correct such timing errors that contaminated 114 raw data of EEG/auditory event-related potentials (ERPs) recorded in one of our longitudinal studies. A two-step procedure was introduced in the correction of timing errors. First, the time delay was roughly estimated by identifying a P-150 component in two ERP blocks. Second, a small phase-locked positive wave was identified for fine estimation. Reliability within and among evaluators was examined using ERP data with simulated timing errors. Concordant results were obtained in 104 (91.2%) of the 114 raw EEG/ERP data sets. Our results showed that the method presented here is reliable and can be used for correcting timing errors without introduction of experimenter bias. (C) 2004 Elsevier B.V. All rights reserved.	Rutgers State Univ, Ctr Mol & Behav Neurosci, Newark, NJ 07102 USA		Jing, HK (corresponding author), Arkansas Childrens Nutr Ctr, Slot 512-20B,1120 Marshall St, Little Rock, AR 72202 USA.	jinghongkui@uams.edu		Benasich, April A/0000-0002-5137-776X					9	3	3	0	1	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0165-0270			J NEUROSCI METH	J. Neurosci. Methods	SEP 30	2004	138	1-2					1	6		10.1016/j.jneumeth.2004.03.009	http://dx.doi.org/10.1016/j.jneumeth.2004.03.009			6	Biochemical Research Methods; Neurosciences	Science Citation Index Expanded (SCI-EXPANDED)	Biochemistry & Molecular Biology; Neurosciences & Neurology	853CT	15325105				2022-08-02	WOS:000223804600001
